transaction_id,user_id,transaction_date,region,city,store_id,product_category,sale_amount,price,quantity,status,age,subscription,email,username,raw_timestamp
T00015,1081,2025-10-29,West,Mumbai,S102,Electronics,944.82,1140.08,6,Completed,48,Premium,user15@example.com,user15,2025-10-29 08:42:31
T00016,1074,2025-04-20,South,Mumbai,S108,Grocery,8707.9,2719.21,4,Completed,22,Standard,user16@example.com,user16,2025-04-20 13:22:27
T00017,1087,2025-07-30,West,Hyderabad,S107,Sports,8776.0,2361.77,6,Completed,31,Premium,,user17,2025-07-30 06:34:28
T00018,1032,2025-03-13,West,Ahmedabad,S109,Electronics,3414.69,2138.31,1,Completed,21,Premium,user18@example.com,user18,2025-03-13 05:26:31
T00019,1008,2025-09-04,East,Kolkata,S101,Grocery,4872.38,,5,,34,Basic,user19@example.com,user19,2025-09-04 22:46:50
T00020,1025,2025-10-12,North,Mumbai,S101,Books,5891.39,3326.26,9,Completed,63,Basic,user20@example.com,user20,2025-10-12 01:03:37
T00021,1021,2025-09-02,West,Bengaluru,S103,Electronics,10247.37,2539.11,10,Completed,59,Premium,user21@example.com,user21,2025-09-02 12:07:56
T00022,1080,2025-10-19,West,Kolkata,S110,Books,7174.78,1268.77,9,Cancelled,32,Premium,user22@example.com,user22,2025-10-19 21:45:20
T00023,1083,2025-05-03,North,Ahmedabad,S106,Electronics,,1364.79,1,,55,Standard,user23@example.com,user23,2025-05-03 03:04:34
T00024,1045,2025-04-20,West,Mumbai,S106,Clothing,1676.23,2554.13,3,,50,Standard,user24@example.com,user24,2025-04-20 09:39:51
T00025,1071,2025-12-01,North,Bengaluru,S103,Clothing,8047.57,2668.26,2,Completed,63,Standard,user25@example.com,user25,2025-12-01 04:17:18
T00026,1088,2025-11-06,North,Ahmedabad,S105,Electronics,4180.28,1092.62,2,,33,Premium,user26@example.com,user26,2025-11-06 00:21:49
T00027,1095,2025-03-08,South,Kolkata,S109,Electronics,3217.27,3203.71,2,Completed,60,Premium,user27@example.com,user27,2025-03-08 17:02:53
T00028,1017,2025-07-09,West,Delhi,S106,Electronics,1862.32,2933.42,6,Pending,59,Premium,user28@example.com,user28,2025-07-09 21:06:22
T00029,1080,2025-10-14,East,Mumbai,S103,Furniture,4935.89,4426.47,7,Completed,27,Standard,user29@example.com,,2025-10-14 10:50:59
T00030,1032,2025-07-30,North,Chennai,S102,Grocery,10382.36,4021.06,1,,30,Premium,user30@example.com,user30,2025-07-30 14:22:19
T00031,1052,2025-04-27,North,Delhi,S102,Clothing,7954.39,1153.47,6,,59,Standard,user31@example.com,user31,2025-04-27 10:01:07
T00032,1034,2025-05-14,West,Bengaluru,S110,Grocery,11554.16,933.91,6,Cancelled,43,Standard,user32@example.com,user32,2025-05-14 16:07:24
T00033,1056,2025-10-23,West,Mumbai,S106,Grocery,628.2,990.89,2,Cancelled,55,Basic,user33@example.com,user33,2025-10-23 21:54:07
T00034,1042,2025-06-03,South,Delhi,S109,Furniture,8036.03,2560.26,4,,58,Basic,,user34,2025-06-03 21:47:57
T00035,1071,2025-03-31,West,Delhi,S105,Furniture,3681.3,3096.8,7,Cancelled,45,Basic,user35@example.com,user35,2025-03-31 14:43:13
T00036,1095,2025-09-19,East,Bengaluru,S105,Books,10824.05,2392.27,10,Cancelled,21,Premium,user36@example.com,user36,2025-09-19 21:19:14
T00037,1061,2025-04-12,West,Ahmedabad,S107,Sports,649.94,779.4,10,Pending,61,Standard,user37@example.com,user37,2025-04-12 12:31:25
T00038,1097,2025-05-05,West,Kolkata,S104,Furniture,8282.71,,9,,19,Standard,user38@example.com,user38,2025-05-05 07:58:54
T00039,1086,2025-03-04,North,Ahmedabad,S110,Sports,9636.86,2309.49,9,,51,Basic,user39@example.com,user39,2025-03-04 05:47:55
T00040,1082,2025-09-01,North,Ahmedabad,S104,Clothing,9046.14,2277.85,8,Completed,61,Basic,user40@example.com,user40,2025-09-01 07:17:21
T00041,1020,2025-06-13,East,Kolkata,S103,Sports,1058.87,4470.48,4,Completed,42,Basic,user41@example.com,user41,2025-06-13 10:34:29
T00042,1050,2025-08-01,West,Kolkata,S108,Electronics,10011.4,358.22,6,Cancelled,64,Basic,user42@example.com,user42,2025-08-01 13:34:47
T00043,1063,2025-10-07,East,Delhi,S107,Grocery,10783.96,4009.35,1,,37,Standard,user43@example.com,user43,2025-10-07 21:51:25
T00044,1080,2025-03-26,West,Kolkata,S110,Books,11042.55,4210.5,1,Completed,57,Basic,user44@example.com,user44,2025-03-26 04:55:29
T00045,1028,2025-04-04,South,Pune,S106,Grocery,4611.34,298.91,5,,32,Premium,user45@example.com,user45,2025-04-04 15:01:47
T00046,1029,2025-10-04,West,Hyderabad,S101,Furniture,,307.82,4,Completed,55,Premium,user46@example.com,user46,2025-10-04 07:08:30
T00047,1060,2025-12-09,North,Pune,S103,Books,11378.31,616.23,10,Completed,65,Premium,user47@example.com,user47,2025-12-09 09:06:37
T00048,1049,2025-01-14,South,Mumbai,S102,Books,6951.98,4647.99,4,Completed,60,Basic,user48@example.com,user48,2025-01-14 21:38:51
T00049,1006,2025-03-03,North,Kolkata,S106,Electronics,6834.6,3991.32,9,Cancelled,16,Basic,user49@example.com,user49,2025-03-03 15:06:27
T00050,1091,2025-07-05,East,Kolkata,S103,Sports,9961.62,3196.15,9,Cancelled,55,Standard,user50@example.com,user50,2025-07-05 15:29:27
T00051,1012,2025-10-31,North,Ahmedabad,S104,Grocery,10235.39,1378.56,10,,37,Premium,,user51,2025-10-31 15:54:20
T00052,1034,2025-04-04,North,Delhi,S110,Sports,4322.42,2463.37,5,Completed,49,Premium,user52@example.com,user52,2025-04-04 02:15:46
T00053,1089,2025-07-28,South,Ahmedabad,S108,Electronics,9122.16,2468.46,2,Cancelled,30,Basic,user53@example.com,user53,2025-07-28 22:15:19
T00054,1068,2025-12-06,North,Kolkata,S109,Clothing,5731.8,2928.7,6,,33,Basic,user54@example.com,user54,2025-12-06 08:14:07
T00055,1098,2025-04-09,East,Mumbai,S104,Sports,8940.28,1611.96,8,Cancelled,62,Standard,user55@example.com,user55,2025-04-09 16:38:18
T00056,1047,2025-02-21,East,Delhi,S101,Sports,3625.33,4171.51,9,Pending,33,Premium,user56@example.com,user56,2025-02-21 01:35:18
T00057,1097,2025-12-24,South,Bengaluru,S101,Books,7690.65,,5,,46,Basic,user57@example.com,user57,2025-12-24 10:11:03
T00058,1009,2025-05-10,South,Ahmedabad,S102,Books,5784.98,4708.26,1,Pending,25,Standard,user58@example.com,,2025-05-10 09:05:15
T00059,1077,2025-03-02,East,Kolkata,S108,Grocery,5052.47,2812.46,5,,35,Standard,user59@example.com,user59,2025-03-02 19:03:39
T00060,1028,2025-02-20,North,Bengaluru,S103,Furniture,2572.68,4740.57,3,Completed,26,Premium,user60@example.com,user60,2025-02-20 13:28:44
T00061,1037,2025-11-01,North,Ahmedabad,S102,Sports,488.41,2376.07,4,Cancelled,56,Standard,user61@example.com,user61,2025-11-01 21:51:59
T00062,1083,2025-04-12,East,Delhi,S103,Electronics,6580.29,2154.44,1,Pending,35,Standard,user62@example.com,user62,2025-04-12 23:52:36
T00063,1039,2025-05-28,South,Delhi,S109,Books,5677.51,2223.81,8,,21,Standard,user63@example.com,user63,2025-05-28 01:56:27
T00064,1030,2025-06-15,West,Delhi,S110,Electronics,407.79,3038.38,3,,49,Standard,user64@example.com,user64,2025-06-15 14:58:17
T00065,1063,2025-04-03,West,Ahmedabad,S106,Grocery,5287.03,4984.88,6,Cancelled,58,Premium,user65@example.com,user65,2025-04-03 05:21:26
T00066,1052,2025-12-22,West,Ahmedabad,S102,Clothing,7984.74,2502.57,5,Cancelled,23,Basic,user66@example.com,user66,2025-12-22 16:52:00
T00067,1007,2025-12-03,East,Pune,S110,Grocery,5597.52,4353.37,8,Completed,29,Basic,user67@example.com,user67,2025-12-03 17:08:59
T00068,1016,2025-05-28,West,Mumbai,S103,Clothing,8409.18,2218.67,9,Completed,51,Basic,,user68,2025-05-28 02:14:53
T00069,1020,2025-02-28,South,Delhi,S109,Sports,,2334.17,5,,46,Basic,user69@example.com,user69,2025-02-28 07:29:35
T00070,1066,2025-03-16,East,Bengaluru,S105,Grocery,11070.23,1948.75,6,Cancelled,16,Basic,user70@example.com,user70,2025-03-16 23:19:53
T00071,1020,2025-10-28,South,Ahmedabad,S106,Clothing,7953.29,2920.62,9,,45,Basic,user71@example.com,user71,2025-10-28 06:44:15
T00072,1053,2025-10-20,West,Pune,S108,Sports,10286.55,1945.71,7,,58,Standard,user72@example.com,user72,2025-10-20 04:31:02
T00073,1013,2025-03-06,South,Bengaluru,S109,Grocery,7123.15,2536.34,1,Pending,42,Standard,user73@example.com,user73,2025-03-06 04:04:30
T00074,1084,2025-05-16,West,Pune,S109,Grocery,8343.18,1725.88,6,,50,Premium,user74@example.com,user74,2025-05-16 19:04:15
T00075,1030,2025-11-20,West,Kolkata,S102,Sports,3519.81,3437.78,2,,26,Standard,user75@example.com,user75,2025-11-20 09:57:01
T00076,1046,2025-01-24,North,Kolkata,S103,Furniture,767.82,,9,,52,Standard,user76@example.com,user76,2025-01-24 05:10:11
T00077,1088,2025-02-10,East,Ahmedabad,S110,Furniture,4652.28,3066.98,4,,56,Basic,user77@example.com,user77,2025-02-10 14:16:42
T00078,1037,2025-01-05,East,Bengaluru,S108,Clothing,5636.51,4499.6,10,Cancelled,56,Basic,user78@example.com,user78,2025-01-05 22:16:29
T00079,1062,2025-06-04,West,Mumbai,S107,Books,4677.85,1036.12,6,Cancelled,60,Basic,user79@example.com,user79,2025-06-04 00:53:42
T00080,1088,2025-07-22,West,Ahmedabad,S105,Furniture,6834.56,1408.68,10,Cancelled,30,Standard,user80@example.com,user80,2025-07-22 06:39:16
T00081,1088,2025-12-14,East,Bengaluru,S101,Clothing,9232.9,3790.11,8,Completed,53,Basic,user81@example.com,user81,2025-12-14 23:08:05
T00082,1026,2025-06-01,East,Pune,S109,Books,5044.49,1667.26,5,Pending,32,Basic,user82@example.com,user82,2025-06-01 09:47:55
T00083,1010,2025-06-23,East,Mumbai,S107,Books,5673.14,4030.95,6,Completed,41,Premium,user83@example.com,user83,2025-06-23 08:34:07
T00084,1034,2025-08-21,South,Pune,S102,Sports,9013.24,1874.5,4,,17,Standard,user84@example.com,user84,2025-08-21 17:20:58
T00085,1060,2025-11-09,North,Kolkata,S102,Furniture,852.28,1145.77,1,Completed,35,Basic,,user85,2025-11-09 03:06:15
T00086,1086,2025-10-03,South,Chennai,S107,Sports,5498.36,721.54,2,,55,Basic,user86@example.com,user86,2025-10-03 08:02:44
T00087,1031,2025-07-09,North,Bengaluru,S106,Books,5391.88,1125.48,6,Completed,41,Basic,user87@example.com,,2025-07-09 06:07:54
T00088,1082,2025-08-21,West,Hyderabad,S106,Furniture,2624.06,503.78,3,Pending,20,Standard,user88@example.com,user88,2025-08-21 06:37:13
T00089,1077,2025-04-30,West,Delhi,S103,Furniture,1855.89,1676.37,9,Cancelled,27,Premium,user89@example.com,user89,2025-04-30 21:55:01
T00090,1031,2025-03-09,North,Hyderabad,S103,Clothing,9500.82,123.56,1,Pending,63,Basic,user90@example.com,user90,2025-03-09 16:07:47
T00091,1066,2025-02-02,West,Ahmedabad,S109,Furniture,9358.4,2407.42,10,Completed,62,Standard,user91@example.com,user91,2025-02-02 16:19:29
T00092,1062,2025-11-26,South,Kolkata,S102,Grocery,,4821.93,8,Completed,21,Basic,user92@example.com,user92,2025-11-26 19:09:04
T00093,1071,2025-03-06,North,Kolkata,S110,Books,7633.61,1411.33,5,,48,Standard,user93@example.com,user93,2025-03-06 13:06:50
T00094,1099,2025-12-26,East,Kolkata,S108,Furniture,7891.08,616.35,7,Cancelled,45,Basic,user94@example.com,user94,2025-12-26 13:46:06
T00095,1048,2025-06-10,East,Ahmedabad,S102,Electronics,8014.78,,2,Completed,43,Premium,user95@example.com,user95,2025-06-10 23:47:23
T00096,1072,2025-03-08,North,Bengaluru,S107,Clothing,7078.93,2804.04,7,Completed,34,Standard,user96@example.com,user96,2025-03-08 09:22:06
T00097,1062,2025-10-23,East,Bengaluru,S106,Books,1941.29,2561.69,6,Completed,64,Basic,user97@example.com,user97,2025-10-23 18:14:51
T00098,1080,2025-08-08,West,Delhi,S101,Furniture,11697.1,4233.52,5,Cancelled,37,Basic,user98@example.com,user98,2025-08-08 00:11:55
T00099,1019,2025-03-15,West,Bengaluru,S109,Furniture,4869.33,2853.29,7,,45,Basic,user99@example.com,user99,2025-03-15 05:23:19
T00100,1011,2025-06-16,West,Chennai,S103,Books,6854.36,3895.34,1,Completed,33,Basic,user100@example.com,user100,2025-06-16 21:27:31
T00101,1097,2025-11-07,West,Pune,S107,Electronics,3350.69,2238.12,5,,49,Standard,user101@example.com,user101,2025-11-07 09:02:14
T00102,1027,2025-07-22,North,Mumbai,S103,Clothing,751.91,4923.01,5,Cancelled,23,Premium,,user102,2025-07-22 15:47:27
T00103,1030,2025-03-31,North,Bengaluru,S107,Sports,6437.73,689.47,1,,17,Basic,user103@example.com,user103,2025-03-31 02:55:20
T00104,1082,2025-10-22,South,Delhi,S102,Grocery,4912.63,2174.96,1,Cancelled,26,Standard,user104@example.com,user104,2025-10-22 14:53:44
T00105,1032,2025-07-05,South,Kolkata,S109,Electronics,10149.36,486.24,7,Cancelled,63,Basic,user105@example.com,user105,2025-07-05 07:21:49
T00106,1068,2025-03-28,East,Pune,S106,Sports,7635.37,428.08,3,Pending,22,Premium,user106@example.com,user106,2025-03-28 08:12:11
T00107,1010,2025-11-05,East,Ahmedabad,S108,Books,9133.91,806.71,10,,59,Standard,user107@example.com,user107,2025-11-05 20:40:39
T00108,1020,2025-06-15,South,Bengaluru,S108,Grocery,7563.89,4328.02,5,Cancelled,53,Premium,user108@example.com,user108,2025-06-15 11:32:04
T00109,1048,2025-06-08,North,Bengaluru,S102,Books,547.53,2335.63,10,,45,Standard,user109@example.com,user109,2025-06-08 17:50:47
T00110,1084,2025-01-22,East,Pune,S110,Grocery,9736.81,2276.18,9,Pending,19,Basic,user110@example.com,user110,2025-01-22 03:51:57
T00111,1083,2025-06-25,East,Hyderabad,S104,Sports,1103.52,4912.81,8,,49,Standard,user111@example.com,user111,2025-06-25 19:10:23
T00112,1100,2025-07-10,North,Hyderabad,S106,Electronics,4710.26,4593.79,6,Completed,51,Standard,user112@example.com,user112,2025-07-10 12:18:16
T00113,1020,2025-12-03,North,Bengaluru,S110,Sports,7272.14,4823.83,3,Cancelled,35,Standard,user113@example.com,user113,2025-12-03 22:42:25
T00114,1040,2025-03-08,South,Pune,S103,Sports,11262.23,,9,Completed,57,Standard,user114@example.com,user114,2025-03-08 13:32:23
T00115,1028,2025-01-10,North,Ahmedabad,S104,Furniture,,1844.86,3,Pending,20,Basic,user115@example.com,user115,2025-01-10 03:32:49
T00116,1005,2025-10-04,North,Chennai,S110,Grocery,10615.82,4183.84,3,Pending,27,Standard,user116@example.com,,2025-10-04 19:51:57
T00117,1047,2025-03-26,East,Ahmedabad,S110,Clothing,619.94,3619.86,8,Pending,50,Premium,user117@example.com,user117,2025-03-26 09:51:50
T00118,1087,2025-08-29,South,Ahmedabad,S105,Grocery,2408.79,4524.67,9,,26,Premium,user118@example.com,user118,2025-08-29 19:08:55
T00119,1048,2025-05-09,West,Bengaluru,S105,Electronics,5819.03,308.29,3,Cancelled,44,Standard,,user119,2025-05-09 04:53:27
T00120,1058,2025-02-16,North,Hyderabad,S107,Electronics,2742.25,4734.75,7,Cancelled,31,Basic,user120@example.com,user120,2025-02-16 02:23:14
T00121,1092,2025-01-15,North,Chennai,S103,Electronics,1279.09,1627.49,5,,60,Premium,user121@example.com,user121,2025-01-15 22:30:28
T00122,1033,2025-11-12,East,Chennai,S109,Sports,1042.79,75.99,10,,23,Basic,user122@example.com,user122,2025-11-12 07:19:07
T00123,1080,2025-01-25,South,Bengaluru,S102,Grocery,7703.53,1230.28,10,Completed,56,Standard,user123@example.com,user123,2025-01-25 18:15:45
T00124,1046,2025-03-15,East,Kolkata,S103,Sports,118.62,1491.8,2,Cancelled,20,Standard,user124@example.com,user124,2025-03-15 17:32:50
T00125,1061,2025-09-17,West,Kolkata,S106,Clothing,4746.4,2793.05,1,Cancelled,20,Basic,user125@example.com,user125,2025-09-17 07:46:42
T00126,1097,2025-11-18,North,Chennai,S101,Clothing,7024.65,563.14,9,Cancelled,57,Premium,user126@example.com,user126,2025-11-18 21:29:44
T00127,1009,2025-09-03,South,Hyderabad,S105,Furniture,9756.82,3177.09,1,Pending,18,Basic,user127@example.com,user127,2025-09-03 09:32:25
T00128,1083,2025-10-06,East,Delhi,S106,Electronics,535.79,2393.33,6,Cancelled,23,Basic,user128@example.com,user128,2025-10-06 13:56:25
T00129,1024,2025-08-14,South,Ahmedabad,S106,Books,4701.07,4478.46,5,Completed,62,Basic,user129@example.com,user129,2025-08-14 02:27:38
T00130,1011,2025-04-03,North,Delhi,S105,Grocery,3922.42,2750.1,10,,26,Standard,user130@example.com,user130,2025-04-03 14:22:28
T00131,1079,2025-01-22,South,Delhi,S101,Electronics,10948.13,3647.73,7,Cancelled,48,Standard,user131@example.com,user131,2025-01-22 21:10:01
T00132,1057,2025-03-15,West,Chennai,S102,Furniture,8169.26,4250.91,6,Cancelled,40,Standard,user132@example.com,user132,2025-03-15 01:38:09
T00133,1057,2025-12-14,West,Chennai,S109,Clothing,4514.48,,7,Cancelled,57,Basic,user133@example.com,user133,2025-12-14 07:07:01
T00134,1072,2025-04-06,West,Delhi,S105,Sports,4705.15,2520.27,8,Pending,55,Basic,user134@example.com,user134,2025-04-06 22:58:31
T00135,1058,2025-04-13,East,Ahmedabad,S102,Sports,10248.63,657.06,6,Cancelled,61,Premium,user135@example.com,user135,2025-04-13 17:34:18
T00136,1090,2025-06-03,East,Pune,S109,Furniture,8570.53,4264.24,2,Pending,24,Premium,,user136,2025-06-03 15:01:23
T00137,1071,2025-10-11,East,Bengaluru,S102,Clothing,5662.13,2882.77,7,,49,Basic,user137@example.com,user137,2025-10-11 13:52:36
T00138,1010,2025-02-07,South,Ahmedabad,S109,Clothing,,670.37,3,Pending,65,Premium,user138@example.com,user138,2025-02-07 13:32:58
T00139,1039,2025-01-29,East,Chennai,S106,Sports,6265.42,4165.38,4,Cancelled,49,Basic,user139@example.com,user139,2025-01-29 02:16:12
T00140,1081,2025-11-22,North,Bengaluru,S109,Sports,3365.97,4783.94,3,Pending,26,Standard,user140@example.com,user140,2025-11-22 19:46:57
T00141,1006,2025-11-06,West,Bengaluru,S101,Sports,11094.76,1721.22,10,Cancelled,57,Premium,user141@example.com,user141,2025-11-06 18:26:39
T00142,1070,2025-11-24,North,Delhi,S108,Furniture,10679.06,199.92,7,Cancelled,45,Premium,user142@example.com,user142,2025-11-24 22:03:10
T00143,1044,2025-08-14,East,Pune,S106,Sports,5626.86,2107.33,6,,24,Basic,user143@example.com,user143,2025-08-14 16:35:06
T00144,1058,2025-06-13,East,Chennai,S102,Electronics,1558.01,1246.6,5,,55,Basic,user144@example.com,user144,2025-06-13 07:55:57
T00145,1093,2025-03-23,North,Mumbai,S103,Grocery,11211.64,4076.72,9,,47,Basic,user145@example.com,,2025-03-23 15:01:05
T00146,1028,2025-07-21,North,Hyderabad,S101,Clothing,11603.57,2551.95,8,,34,Standard,user146@example.com,user146,2025-07-21 00:54:06
T00147,1047,2025-08-09,South,Pune,S101,Grocery,3247.23,712.98,1,Pending,39,Standard,user147@example.com,user147,2025-08-09 09:04:24
T00148,1080,2025-09-16,West,Chennai,S102,Grocery,6643.3,2279.25,6,Cancelled,51,Basic,user148@example.com,user148,2025-09-16 04:12:38
T00149,1005,2025-09-18,East,Pune,S108,Books,579.03,2036.87,8,Pending,54,Standard,user149@example.com,user149,2025-09-18 04:20:59
T00150,1079,2025-11-10,North,Pune,S109,Books,4776.16,1626.72,9,,61,Standard,user150@example.com,user150,2025-11-10 09:30:52
T00151,1054,2025-01-09,North,Hyderabad,S110,Grocery,8118.3,1873.37,5,Pending,62,Premium,user151@example.com,user151,2025-01-09 18:30:10
T00152,1049,2025-09-26,East,Mumbai,S101,Books,7474.86,,2,Pending,17,Basic,user152@example.com,user152,2025-09-26 10:26:09
T00153,1100,2025-07-31,South,Hyderabad,S103,Books,4983.49,3467.98,4,Cancelled,58,Basic,,user153,2025-07-31 16:24:20
T00154,1070,2025-03-30,North,Delhi,S110,Grocery,6444.21,2325.33,4,Pending,33,Standard,user154@example.com,user154,2025-03-30 09:14:19
T00155,1063,2025-05-28,North,Ahmedabad,S106,Books,8313.85,3539.26,5,Cancelled,23,Standard,user155@example.com,user155,2025-05-28 21:34:24
T00156,1019,2025-07-22,North,Hyderabad,S105,Sports,11459.85,4100.97,2,Cancelled,44,Standard,user156@example.com,user156,2025-07-22 08:47:30
T00157,1072,2025-04-20,North,Chennai,S102,Books,6509.08,1050.24,10,Pending,31,Premium,user157@example.com,user157,2025-04-20 21:57:33
T00158,1053,2025-04-26,North,Ahmedabad,S102,Sports,724.64,3207.83,3,Completed,51,Premium,user158@example.com,user158,2025-04-26 13:41:59
T00159,1037,2025-09-01,North,Delhi,S101,Electronics,2473.53,2413.37,10,Pending,50,Standard,user159@example.com,user159,2025-09-01 23:54:59
T00160,1023,2025-01-20,West,Kolkata,S108,Furniture,2183.27,4570.49,5,Completed,16,Basic,user160@example.com,user160,2025-01-20 18:38:06
T00161,1070,2025-06-21,South,Chennai,S109,Grocery,,1458.58,5,Pending,23,Basic,user161@example.com,user161,2025-06-21 05:46:29
T00162,1095,2025-11-28,North,Delhi,S110,Sports,2315.77,1323.46,4,Pending,55,Standard,user162@example.com,user162,2025-11-28 12:52:27
T00163,1013,2025-09-21,East,Chennai,S108,Clothing,4869.92,1673.24,4,Completed,32,Basic,user163@example.com,user163,2025-09-21 07:28:48
T00164,1093,2025-05-17,West,Delhi,S106,Sports,3693.16,4772.47,4,Completed,58,Premium,user164@example.com,user164,2025-05-17 14:19:10
T00165,1091,2025-07-27,North,Bengaluru,S105,Clothing,11084.96,3446.06,10,Pending,30,Premium,user165@example.com,user165,2025-07-27 15:09:29
T00166,1061,2025-11-07,East,Mumbai,S110,Electronics,8453.09,1899.44,9,,49,Standard,user166@example.com,user166,2025-11-07 11:04:58
T00167,1065,2025-10-16,East,Chennai,S103,Clothing,9962.41,605.43,9,,23,Standard,user167@example.com,user167,2025-10-16 06:45:37
T00168,1008,2025-09-08,South,Chennai,S109,Grocery,6173.47,500.16,8,Completed,51,Basic,user168@example.com,user168,2025-09-08 21:51:19
T00169,1096,2025-01-12,East,Bengaluru,S101,Grocery,9815.79,2009.95,6,Completed,50,Premium,user169@example.com,user169,2025-01-12 02:59:30
T00170,1018,2025-01-17,South,Pune,S107,Grocery,2241.78,1471.1,7,,21,Standard,,user170,2025-01-17 21:55:34
T00171,1023,2025-03-10,South,Chennai,S104,Electronics,4238.46,,1,Cancelled,45,Standard,user171@example.com,user171,2025-03-10 23:34:27
T00172,1059,2025-09-30,North,Chennai,S105,Furniture,2833.0,1927.42,2,Completed,58,Basic,user172@example.com,user172,2025-09-30 19:49:59
T00173,1077,2025-01-09,West,Ahmedabad,S110,Sports,900.76,1241.3,1,Pending,63,Premium,user173@example.com,user173,2025-01-09 12:28:14
T00174,1008,2025-10-04,East,Delhi,S104,Sports,10378.39,1125.48,10,Cancelled,52,Standard,user174@example.com,,2025-10-04 21:52:20
T00175,1085,2025-05-02,East,Kolkata,S105,Clothing,1804.8,1543.73,1,Pending,56,Standard,user175@example.com,user175,2025-05-02 13:35:31
T00176,1086,2025-01-25,South,Pune,S107,Grocery,11304.88,4862.84,3,Cancelled,40,Premium,user176@example.com,user176,2025-01-25 17:30:15
T00177,1060,2025-04-26,West,Kolkata,S107,Books,8520.16,1538.65,9,Pending,40,Premium,user177@example.com,user177,2025-04-26 08:13:21
T00178,1048,2025-11-28,West,Mumbai,S101,Clothing,5452.46,441.4,7,Completed,20,Premium,user178@example.com,user178,2025-11-28 18:46:42
T00179,1043,2025-10-14,North,Hyderabad,S104,Furniture,2585.78,1124.23,2,,31,Standard,user179@example.com,user179,2025-10-14 19:45:13
T00180,1100,2025-07-23,North,Kolkata,S108,Books,6669.74,4579.88,6,Cancelled,32,Basic,user180@example.com,user180,2025-07-23 16:56:31
T00181,1061,2025-08-27,North,Mumbai,S106,Clothing,11777.69,538.11,7,Completed,52,Premium,user181@example.com,user181,2025-08-27 23:09:01
T00182,1093,2025-05-14,South,Delhi,S103,Furniture,7049.98,2788.89,6,Pending,40,Standard,user182@example.com,user182,2025-05-14 07:31:35
T00183,1098,2025-12-02,South,Ahmedabad,S108,Furniture,4117.01,4720.15,6,Pending,24,Standard,user183@example.com,user183,2025-12-02 17:31:11
T00184,1068,2025-10-05,West,Bengaluru,S101,Electronics,,4952.1,7,Pending,56,Premium,user184@example.com,user184,2025-10-05 02:45:09
T00185,1008,2025-01-05,South,Ahmedabad,S101,Electronics,5526.51,1132.66,9,,16,Premium,user185@example.com,user185,2025-01-05 16:46:17
T00186,1090,2025-10-02,South,Chennai,S102,Electronics,304.0,4888.52,9,Pending,31,Premium,user186@example.com,user186,2025-10-02 19:33:16
T00187,1048,2025-07-01,South,Ahmedabad,S110,Furniture,4823.07,1373.26,4,Cancelled,59,Premium,,user187,2025-07-01 20:54:41
T00188,1071,2025-01-17,South,Hyderabad,S101,Sports,4613.24,512.83,3,Completed,47,Basic,user188@example.com,user188,2025-01-17 20:50:21
T00189,1068,2025-10-17,West,Mumbai,S104,Sports,11688.69,4887.78,10,,33,Premium,user189@example.com,user189,2025-10-17 02:43:59
